"","Country","Date","Cum_conf_cases","Cum_susp_cases","Cum_conf_death"
"1","Guinea","2015-03-10",2871,22,1778
"2","Liberia","2015-03-10",3150,4314,NA
"3","Sierra Leone","2015-03-10",8428,2904,3263
"4","United Kingdom","2015-03-10",1,0,NA
"5","Mali","2015-03-10",7,0,NA
"6","Nigeria","2015-03-10",19,0,7
"7","Senegal","2015-03-10",1,0,0
"8","Spain","2015-03-10",1,0,0
"9","United States of America","2015-03-10",4,0,1
"10","United Kingdom","2015-03-06",1,0,NA
"11","Guinea","2015-03-06",2840,16,1755
"12","Liberia","2015-03-06",3150,4222,NA
"13","Sierra Leone","2015-03-06",8389,2841,3210
"14","Mali","2015-03-06",7,0,NA
"15","Nigeria","2015-03-06",19,0,7
"16","Senegal","2015-03-06",1,0,0
"17","Spain","2015-03-06",1,0,0
"18","United States of America","2015-03-06",4,0,1
"19","United Kingdom","2015-03-05",1,0,NA
"20","Guinea","2015-03-05",2833,12,1749
"21","Liberia","2015-03-05",3150,4222,NA
"22","Sierra Leone","2015-03-05",8383,2827,3199
"23","Mali","2015-03-05",7,0,NA
"24","Nigeria","2015-03-05",19,0,7
"25","Senegal","2015-03-05",1,0,0
"26","Spain","2015-03-05",1,0,0
"27","United States of America","2015-03-05",4,0,1
"28","United Kingdom","2015-03-04",1,0,NA
"29","Mali","2015-03-04",7,0,NA
"30","Nigeria","2015-03-04",19,0,7
"31","Senegal","2015-03-04",1,0,0
"32","Spain","2015-03-04",1,0,0
"33","United States of America","2015-03-04",4,0,1
"34","Guinea","2015-03-04",2808,5,1735
"35","Liberia","2015-03-04",3153,4224,NA
"36","Sierra Leone","2015-03-04",8353,2803,3164
"37","United Kingdom","2015-03-02",1,0,NA
"38","Guinea","2015-03-02",2808,5,1735
"39","Liberia","2015-03-02",3153,4224,NA
"40","Sierra Leone","2015-03-02",8353,2803,3164
"41","Mali","2015-03-02",7,0,NA
"42","Nigeria","2015-03-02",19,0,7
"43","Senegal","2015-03-02",1,0,0
"44","Spain","2015-03-02",1,0,0
"45","United States of America","2015-03-02",4,0,1
"46","United Kingdom","2015-02-27",1,0,NA
"47","Guinea","2015-02-27",2790,8,1721
"48","Liberia","2015-02-27",3153,4224,NA
"49","Sierra Leone","2015-02-27",8320,2763,3124
"50","Mali","2015-02-27",7,0,NA
"51","Nigeria","2015-02-27",19,0,7
"52","Senegal","2015-02-27",1,0,0
"53","Spain","2015-02-27",1,0,0
"54","United States of America","2015-02-27",4,0,1
"55","United Kingdom","2015-02-26",1,0,NA
"56","Guinea","2015-02-26",2781,7,1714
"57","Liberia","2015-02-26",3153,4224,NA
"58","Sierra Leone","2015-02-26",8308,2746,3113
"59","Mali","2015-02-26",7,0,NA
"60","Nigeria","2015-02-26",19,0,7
"61","Senegal","2015-02-26",1,0,0
"62","Spain","2015-02-26",1,0,0
"63","United States of America","2015-02-26",4,0,1
"64","United Kingdom","2015-02-25",1,0,NA
"65","Guinea","2015-02-25",2762,6,1704
"66","Liberia","2015-02-25",3153,4197,NA
"67","Sierra Leone","2015-02-25",8289,2725,3095
"68","Mali","2015-02-25",7,0,NA
"69","Nigeria","2015-02-25",19,0,7
"70","Senegal","2015-02-25",1,0,0
"71","Spain","2015-02-25",1,0,0
"72","United States of America","2015-02-25",4,0,1
"73","United Kingdom","2015-02-23",1,0,NA
"74","Guinea","2015-02-23",2758,10,1699
"75","Liberia","2015-02-23",3153,4188,NA
"76","Sierra Leone","2015-02-23",8223,2645,3057
"77","Mali","2015-02-23",7,0,NA
"78","Nigeria","2015-02-23",19,0,7
"79","Senegal","2015-02-23",1,0,0
"80","Spain","2015-02-23",1,0,0
"81","United States of America","2015-02-23",4,0,1
"82","United Kingdom","2015-02-20",1,0,NA
"83","Guinea","2015-02-20",2734,2,1688
"84","Liberia","2015-02-20",3152,4062,NA
"85","Sierra Leone","2015-02-20",8223,2645,3057
"86","Mali","2015-02-20",7,0,NA
"87","Nigeria","2015-02-20",19,0,7
"88","Senegal","2015-02-20",1,0,0
"89","Spain","2015-02-20",1,0,0
"90","United States of America","2015-02-20",4,0,1
"91","United Kingdom","2015-02-19",1,0,NA
"92","Guinea","2015-02-19",2732,2,1686
"93","Liberia","2015-02-19",3152,4062,NA
"94","Sierra Leone","2015-02-19",8223,2645,3057
"95","Mali","2015-02-19",7,0,NA
"96","Nigeria","2015-02-19",19,0,7
"97","Senegal","2015-02-19",1,0,0
"98","Spain","2015-02-19",1,0,0
"99","United States of America","2015-02-19",4,0,1
"100","United Kingdom","2015-02-18",1,0,NA
"101","Guinea","2015-02-18",2727,7,1683
"102","Sierra Leone","2015-02-18",8212,2604,3042
"103","Liberia","2015-02-18",3149,3982,NA
"104","Mali","2015-02-18",7,0,NA
"105","Nigeria","2015-02-18",19,0,7
"106","Senegal","2015-02-18",1,0,0
"107","Spain","2015-02-18",1,0,0
"108","United States of America","2015-02-18",4,0,1
"109","United Kingdom","2015-02-17",1,0,NA
"110","Guinea","2015-02-17",2727,7,1683
"111","Liberia","2015-02-17",3149,3982,NA
"112","Sierra Leone","2015-02-17",8212,2604,3042
"113","Mali","2015-02-17",7,0,NA
"114","Nigeria","2015-02-17",19,0,7
"115","Senegal","2015-02-17",1,0,0
"116","Spain","2015-02-17",1,0,0
"117","United States of America","2015-02-17",4,0,1
"118","United Kingdom","2015-02-16",1,0,NA
"119","Guinea","2015-02-16",2720,7,1678
"120","Liberia","2015-02-16",3149,3982,NA
"121","Sierra Leone","2015-02-16",8199,2588,3035
"122","Mali","2015-02-16",7,0,NA
"123","Nigeria","2015-02-16",19,0,7
"124","Senegal","2015-02-16",1,0,0
"125","Spain","2015-02-16",1,0,0
"126","United States of America","2015-02-16",4,0,1
"127","Guinea","2015-02-13",2693,15,1659
"128","Liberia","2015-02-13",3147,3908,3858
"129","Sierra Leone","2015-02-13",8155,2545,2997
"130","United Kingdom","2015-02-13",1,0,NA
"131","Mali","2015-02-13",7,0,NA
"132","Nigeria","2015-02-13",19,0,7
"133","Senegal","2015-02-13",1,0,0
"134","Spain","2015-02-13",1,0,0
"135","United States of America","2015-02-13",4,0,1
"136","United Kingdom","2015-02-12",1,0,NA
"137","Guinea","2015-02-12",2685,16,1651
"138","Liberia","2015-02-12",3146,3862,3826
"139","Sierra Leone","2015-02-12",8138,2529,2984
"140","Mali","2015-02-12",7,0,NA
"141","Nigeria","2015-02-12",19,0,7
"142","Senegal","2015-02-12",1,0,0
"143","Spain","2015-02-12",1,0,0
"144","United States of America","2015-02-12",4,0,1
"145","United Kingdom","2015-02-11",1,0,NA
"146","Guinea","2015-02-11",2674,18,1643
"147","Sierra Leone","2015-02-11",8135,2512,2975
"148","Liberia","2015-02-11",3146,3862,3826
"149","Mali","2015-02-11",7,0,NA
"150","Nigeria","2015-02-11",19,0,7
"151","Senegal","2015-02-11",1,0,0
"152","Spain","2015-02-11",1,0,0
"153","United States of America","2015-02-11",4,0,1
"154","Guinea","2015-02-10",2674,18,1643
"155","Liberia","2015-02-10",3146,3862,3826
"156","Sierra Leone","2015-02-10",8135,2512,2975
"157","United Kingdom","2015-02-10",1,0,NA
"158","Mali","2015-02-10",7,0,NA
"159","Nigeria","2015-02-10",19,0,7
"160","Senegal","2015-02-10",1,0,0
"161","Spain","2015-02-10",1,0,0
"162","United States of America","2015-02-10",4,0,1
"163","United Kingdom","2015-02-06",1,0,NA
"164","Guinea","2015-02-06",2628,11,1608
"165","Liberia","2015-02-06",3143,3732,NA
"166","Sierra Leone","2015-02-06",8084,2421,2935
"167","Mali","2015-02-06",7,0,NA
